long_hair,forehead_width_cm,forehead_height_cm,nose_wide,nose_long,lips_thin,distance_nose_to_lip_long,gender
0,14.82,6.56,1,1,1,0,Male
0,14.04,6.26,1,1,1,0,Male
1,12.93,5.63,1,1,0,0,Male
1,12.8,4.96,1,0,0,0,Female
1,13.29,5.82,1,0,1,0,Male
1,12.79,5.02,0,0,1,0,Female
0,15.54,7.41,1,0,1,1,Male
1,13.13,5.23,0,0,1,0,Female
0,15.36,6.37,0,0,1,1,Male
1,14.06,6.13,1,1,0,1,Male
1,13.5,5.63,1,1,0,0,Female
1,11.75,5.65,0,0,1,0,Female
1,13.09,5.85,0,0,0,0,Female
0,13.74,5.85,0,1,1,1,Male
1,12.79,5.68,1,1,0,0,Female
0,13.92,6.08,0,1,0,0,Male
1,14.82,6.09,0,0,0,0,Male
1,11.34,5.14,0,1,0,0,Female
1,13.56,6.06,0,0,0,1,Female
0,13.46,6.53,0,1,1,1,Male
1,12.02,6.66,1,0,0,1,Male
1,14.22,5.0,0,0,1,0,Female
1,13.04,4.84,0,0,1,0,Female
1,11.66,5.35,0,0,0,1,Female
0,14.62,6.91,0,1,1,1,Male
0,15.99,5.54,1,1,1,1,Male
0,14.12,6.13,1,0,1,0,Male
0,13.78,6.26,0,1,1,0,Male
0,13.74,4.96,1,1,0,0,Male
1,14.12,5.76,1,0,1,1,Male
1,13.19,5.08,0,0,0,0,Female
0,14.12,6.77,0,1,0,1,Male
0,14.45,5.95,1,1,1,1,Male
0,14.21,5.89,1,0,1,0,Male
1,14.04,5.94,0,1,0,0,Female
0,14.43,5.49,1,1,1,1,Male
0,12.23,5.26,1,1,1,1,Male
1,13.93,5.86,1,0,0,1,Female
0,13.33,5.58,1,1,1,1,Male
0,12.9,5.6,1,0,1,1,Male
0,12.9,6.59,1,0,1,1,Male
0,14.43,6.74,0,0,1,1,Male
1,13.78,6.69,0,0,0,1,Male
1,10.93,5.47,0,0,1,0,Female
1,14.91,6.1,0,1,0,0,Female
1,12.06,5.68,0,0,0,1,Female
1,14.14,6.53,1,0,1,0,Male
1,14.24,6.04,0,0,1,1,Male
0,14.89,5.93,1,1,0,0,Male
1,12.51,5.58,0,0,1,1,Female
0,12.64,5.43,1,1,1,1,Male
0,13.95,5.42,0,1,1,1,Male
0,13.66,6.3,1,0,0,0,Female
1,14.43,6.54,1,0,1,1,Male
1,12.63,5.33,0,0,0,1,Female
1,12.52,6.51,1,0,0,0,Female
1,11.41,6.11,0,1,0,1,Female
0,12.88,6.64,0,1,1,1,Male
1,14.99,6.34,1,1,1,0,Male
0,14.46,5.71,1,1,1,1,Male
0,14.92,6.09,1,0,1,0,Male
0,13.69,6.72,1,1,1,1,Male
0,13.34,6.96,0,0,1,1,Male
0,12.92,6.14,1,1,1,0,Male
0,11.2,6.21,0,0,0,0,Female
1,12.96,6.22,0,0,1,1,Male
1,12.78,5.42,0,0,0,1,Female
0,12.69,6.01,1,1,1,1,Male
1,14.27,4.85,0,1,0,0,Male
1,15.57,6.9,1,0,1,0,Male
0,10.58,5.77,0,1,1,1,Female
1,13.01,5.89,1,1,0,0,Female
1,10.77,5.55,0,1,1,0,Female
0,13.73,6.74,0,0,0,1,Female
0,14.77,6.21,1,1,1,1,Male
1,10.84,6.19,0,0,0,0,Female
0,13.56,6.33,1,0,1,1,Male
0,12.86,5.9,0,1,0,0,Male
1,14.19,5.99,0,0,1,0,Female
0,13.2,5.73,1,0,0,1,Female
0,13.34,5.45,0,0,1,1,Female
1,14.18,5.77,1,1,1,0,Female
0,12.9,5.83,0,1,1,0,Female
1,13.75,6.59,0,0,1,0,Female
1,13.68,5.26,0,1,0,1,Female
0,11.71,5.42,0,1,1,1,Female
1,15.41,5.35,1,0,1,0,Male
0,11.58,5.57,0,0,0,0,Female
1,13.92,5.65,1,0,1,0,Female
0,13.33,6.72,0,0,1,1,Male
1,13.6,4.29,0,1,1,0,Female
0,13.45,6.04,1,1,0,1,Male
0,14.56,6.35,0,0,1,1,Male
1,12.74,5.1,0,0,1,0,Female
0,13.92,6.93,1,1,1,1,Male
0,15.31,6.07,0,0,1,1,Male
1,13.3,5.49,1,1,1,0,Male
0,15.86,6.38,0,0,1,0,Male
0,12.68,6.08,0,0,0,0,Female
0,14.09,5.65,1,1,1,0,Male
0,12.07,6.22,1,1,0,1,Female
0,14.12,6.19,1,0,1,1,Male
1,14.44,6.45,0,1,1,1,Male
0,14.43,5.85,1,0,1,0,Male
0,13.25,6.54,1,1,0,0,Male
1,15.1,5.74,0,0,0,0,Female
1,11.97,5.02,0,0,1,0,Female
0,13.52,6.18,1,1,0,1,Male
0,14.7,7.17,1,0,1,1,Male
0,13.63,5.43,1,0,1,0,Female
0,13.72,6.84,1,1,1,0,Male
0,13.87,7.01,1,0,0,1,Male
0,14.47,8.1,1,1,1,0,Male
1,13.27,6.47,0,0,1,0,Female
0,12.74,5.36,0,0,0,1,Female
1,11.44,6.23,0,0,0,1,Female
0,14.32,6.8,1,0,1,1,Male
0,12.96,7.19,1,0,1,1,Male
1,12.33,5.44,1,0,0,0,Female
1,13.03,5.31,0,0,0,0,Female
0,13.36,6.35,0,0,0,1,Female
1,14.78,6.34,0,1,0,0,Female
0,12.81,6.46,1,0,0,1,Male
0,13.77,5.68,1,0,1,0,Female
0,15.02,6.06,1,1,1,0,Male
1,14.3,5.68,0,1,0,0,Female
0,13.82,6.39,0,1,0,1,Male
1,11.99,6.26,1,1,1,0,Female
1,11.28,6.52,0,1,0,0,Female
0,13.31,5.19,1,1,0,1,Female
1,12.47,5.18,0,1,1,0,Female
1,15.12,7.02,0,1,1,1,Male
1,11.73,6.18,0,1,0,0,Female
0,13.85,5.72,1,0,1,1,Male
1,12.27,6.32,0,1,1,1,Male
0,13.61,5.26,1,0,0,1,Male
1,14.03,6.08,0,1,1,1,Male
1,12.9,5.3,0,0,0,0,Female
1,13.54,6.98,1,1,1,1,Male
1,12.59,5.92,1,0,0,1,Male
0,14.08,7.13,1,0,0,1,Male
1,13.02,5.73,0,1,0,1,Female
1,12.66,4.73,1,0,0,0,Female
0,13.89,5.42,1,0,1,0,Female
1,11.94,5.87,0,0,1,1,Female
0,15.21,6.25,0,0,0,1,Male
1,12.51,6.47,0,1,1,0,Male
0,12.49,4.53,0,1,0,0,Female
1,14.28,6.67,1,1,0,0,Male
1,13.9,6.43,1,0,1,1,Male
1,11.52,6.13,0,0,0,0,Male
1,12.23,6.17,0,0,1,1,Female
0,11.88,5.5,1,0,0,0,Female
1,14.12,5.89,1,0,1,0,Male
1,13.72,5.71,1,1,0,0,Female
1,11.11,5.46,0,0,0,1,Female
0,12.86,5.85,1,1,0,1,Female
0,14.77,6.09,0,0,0,1,Female
0,11.87,5.61,0,1,0,1,Female
0,14.36,6.8,0,0,1,0,Male
0,15.2,5.53,1,0,0,1,Female
0,13.8,6.18,1,0,0,0,Male
0,13.92,6.24,1,0,1,1,Male
1,13.51,5.1,1,1,1,1,Female
0,15.51,6.44,1,1,1,1,Male
0,15.12,5.82,0,0,0,0,Male
0,12.58,5.57,1,1,1,1,Male
1,11.04,6.05,0,1,0,0,Female
1,12.61,5.24,0,1,1,1,Female
0,14.62,6.67,1,0,1,1,Male
1,12.72,5.83,0,0,1,0,Female
1,12.74,5.61,0,1,0,0,Female
1,14.2,5.24,0,0,0,0,Female
1,13.7,6.0,1,0,1,0,Female
1,14.23,5.87,1,1,0,1,Male
0,16.12,5.75,0,1,0,0,Male
1,11.94,5.16,1,0,1,0,Female
0,10.82,5.44,1,0,0,0,Female
0,15.08,6.18,0,0,1,1,Male
0,13.98,5.36,1,0,1,1,Male
0,12.89,4.91,0,1,0,1,Female
0,14.57,6.16,0,1,1,0,Male
0,13.46,5.5,0,0,1,0,Female
1,12.92,5.66,0,1,0,1,Female
1,15.29,5.13,1,1,0,1,Male
0,14.31,6.04,0,0,1,1,Male
1,13.96,5.54,0,1,0,0,Female
1,13.76,5.18,0,0,0,1,Female
0,14.49,6.21,1,0,0,0,Male
1,13.66,5.43,1,1,0,0,Female
1,14.0,6.64,0,0,1,0,Male
1,13.61,5.26,0,1,0,0,Female
0,15.52,6.32,1,0,1,0,Male
0,12.49,5.6,0,1,0,0,Male
1,14.01,5.26,0,1,1,1,Male
1,12.92,5.85,1,0,0,0,Female
0,13.94,5.82,0,1,0,1,Female
0,14.4,6.32,0,0,0,1,Male
1,13.79,5.57,1,1,0,1,Female
0,13.89,6.12,1,1,0,0,Male
0,12.09,7.31,1,0,1,1,Male
0,14.67,6.04,0,0,1,0,Female
1,12.12,6.03,0,1,1,1,Female
0,11.26,6.3,0,0,0,1,Male
1,13.21,5.4,0,0,0,0,Female
0,13.88,5.53,1,0,0,0,Female
0,15.32,7.03,1,1,0,0,Male
0,13.8,6.18,1,1,0,0,Male
0,12.34,6.43,0,1,0,0,Female
0,14.43,6.48,1,0,1,1,Male
1,15.27,6.3,0,1,0,0,Male
1,12.92,5.76,1,0,0,0,Female
0,13.34,5.96,1,1,1,0,Male
0,14.09,6.15,0,1,1,1,Male
0,12.66,5.42,0,1,0,1,Female
1,12.93,4.77,0,1,1,0,Female
0,14.96,6.25,1,1,0,1,Male
0,12.8,5.65,1,0,1,1,Male
1,12.8,5.34,0,0,0,0,Female
0,12.6,5.84,0,1,0,1,Female
1,13.86,5.78,0,0,0,0,Female
1,13.19,5.78,0,0,1,0,Female
1,15.16,6.23,1,1,1,0,Male
1,13.16,6.51,1,1,1,1,Female
1,12.45,5.63,1,0,0,1,Female
0,14.84,6.57,0,0,1,1,Male
1,13.41,5.98,0,0,0,1,Female
0,13.35,6.12,1,0,0,1,Male
0,13.59,5.64,0,0,0,1,Female
1,13.62,6.19,0,1,0,0,Female
1,13.54,5.76,0,1,0,1,Female
0,13.48,5.4,1,1,1,1,Male
0,12.67,5.66,1,1,0,1,Male
1,11.68,5.91,1,1,0,1,Female
0,14.8,6.23,1,1,1,1,Male
0,14.01,6.05,1,0,0,0,Male
1,13.44,6.3,1,1,1,1,Male
1,14.99,6.88,1,0,1,1,Male
0,14.53,6.3,1,1,1,0,Male
0,13.23,6.57,0,0,0,1,Male
1,12.39,5.97,0,1,1,0,Female
1,12.74,6.21,0,0,0,0,Female
0,14.69,6.48,1,1,1,0,Male
1,14.07,5.87,1,0,0,0,Female
1,11.85,6.12,0,0,1,1,Female
1,11.47,6.55,0,0,0,0,Female
0,12.27,4.97,0,0,1,1,Female
0,14.89,7.0,1,0,1,1,Male
1,14.21,6.52,0,0,0,0,Female
0,12.08,4.69,1,1,0,0,Female
0,14.76,5.77,1,1,1,1,Male
0,14.4,6.47,1,0,1,1,Male
0,13.42,5.54,1,0,1,0,Female
1,14.42,5.45,0,0,1,0,Female
0,14.0,6.03,1,1,0,1,Female
1,12.09,5.39,1,0,1,0,Female
1,12.81,5.59,0,0,0,0,Female
1,13.03,6.11,1,1,1,1,Female
0,15.97,6.71,0,0,1,0,Male
1,13.92,5.97,0,0,0,0,Female
1,13.41,5.77,1,1,0,0,Female
1,14.57,5.63,0,0,1,0,Male
0,14.12,6.81,1,0,1,0,Male
0,14.39,5.96,1,1,1,0,Male
1,14.14,5.76,1,1,1,1,Male
0,13.24,6.28,1,0,0,1,Female
0,13.28,5.54,1,1,0,1,Female
1,12.04,5.38,0,0,0,0,Female
1,13.67,5.91,0,0,0,0,Female
1,13.72,5.66,1,0,0,1,Female
0,11.74,5.1,0,0,0,0,Female
0,14.31,6.26,1,0,1,0,Male
1,13.0,5.39,0,0,0,0,Female
1,14.01,5.33,1,0,1,0,Male
1,13.41,5.87,1,1,1,1,Male
1,13.56,5.07,1,0,0,0,Female
1,13.0,5.82,1,0,0,0,Male
0,13.89,5.55,1,1,1,0,Female
0,13.12,6.82,1,0,1,1,Male
1,12.23,6.56,1,0,1,0,Female
0,14.1,6.19,1,1,1,1,Male
1,13.1,6.14,1,0,0,0,Female
0,12.37,5.96,0,0,0,1,Female
0,13.1,5.83,0,0,0,1,Female
1,10.7,5.72,1,1,0,1,Female
1,13.17,6.32,0,0,1,1,Female
1,15.91,6.47,1,1,1,1,Male
0,13.02,6.68,0,0,1,0,Male
0,15.89,5.72,1,1,0,0,Male
1,12.72,6.09,1,0,0,1,Female
0,14.24,6.5,1,0,1,1,Male
0,12.02,5.54,0,0,0,0,Female
1,13.07,5.75,0,1,0,0,Female
0,14.39,5.28,1,1,1,0,Male
0,13.85,6.05,1,0,1,1,Male
1,12.55,5.01,0,1,1,1,Female
0,14.1,5.51,0,1,1,1,Male
0,12.8,5.95,0,1,0,0,Female
1,14.46,5.71,1,0,0,0,Female
0,11.88,5.35,0,0,1,1,Female
1,12.38,6.36,0,1,1,0,Female
0,11.08,5.09,0,1,0,0,Female
1,15.22,6.14,1,1,1,0,Male
0,12.33,6.9,0,1,1,1,Male
1,12.56,6.01,0,1,0,0,Female
1,12.95,5.72,1,0,1,0,Female
0,14.25,5.77,0,1,1,1,Male
1,14.6,6.72,0,1,1,0,Male
1,15.65,6.13,0,0,1,0,Female
0,13.72,5.73,1,0,1,1,Male
0,12.53,5.76,0,0,0,1,Female
1,12.69,6.57,0,1,1,1,Male
1,12.61,5.25,1,0,1,0,Female
1,14.5,6.86,1,0,1,0,Male
0,13.04,4.81,1,0,0,0,Female
0,15.07,5.71,1,0,1,1,Male
1,13.23,5.67,0,0,0,1,Male
1,12.19,6.02,0,1,0,0,Female
0,15.9,5.85,1,0,1,0,Male
1,11.57,6.32,0,0,0,1,Female
1,14.2,6.58,1,0,1,1,Male
1,11.85,5.82,0,0,0,0,Female
0,13.18,6.29,1,0,1,0,Male
0,13.39,5.93,0,1,1,1,Female
1,13.47,7.25,1,0,1,1,Male
1,12.78,6.8,0,0,1,0,Female
1,13.55,4.97,0,0,0,0,Male
1,12.31,5.62,1,0,0,1,Female
0,13.78,5.08,1,1,0,1,Female
0,14.51,5.67,0,0,0,0,Female
1,14.62,6.66,1,1,1,0,Male
0,13.74,6.19,0,0,1,1,Female
0,14.89,5.68,1,0,0,1,Male
1,13.92,5.72,0,0,1,1,Female
0,14.78,6.14,0,1,1,0,Male
1,11.35,5.22,0,0,0,1,Female
1,14.14,5.92,1,0,1,0,Male
1,12.48,6.53,0,0,1,1,Male
1,12.48,5.18,0,1,0,0,Female
1,13.14,7.09,0,0,1,1,Male
0,14.69,6.28,1,1,1,1,Male
1,12.59,4.92,0,0,0,0,Female
0,14.5,6.62,0,0,1,0,Male
1,12.01,7.37,1,1,1,1,Male
0,13.64,6.66,1,0,0,0,Male
1,12.07,4.77,0,1,1,0,Female
0,14.09,5.76,1,0,0,0,Male
0,13.07,5.65,0,0,1,0,Female
0,14.25,7.3,1,1,0,1,Male
1,12.76,6.14,0,0,1,1,Male
0,13.06,5.97,1,1,1,1,Male
1,12.46,5.91,0,0,1,0,Female
0,12.98,6.14,1,0,1,0,Male
1,14.54,7.08,1,1,0,0,Male
1,12.76,5.4,1,0,0,0,Female
0,15.76,6.89,1,1,1,0,Male
1,11.65,5.5,0,1,0,0,Female
0,14.55,5.58,0,1,0,1,Female
0,14.33,7.09,1,1,0,0,Male
1,13.13,5.73,0,0,0,1,Female
0,14.14,6.14,1,0,1,1,Male
0,13.36,5.82,1,1,0,1,Female
1,14.16,6.17,0,0,0,0,Female
0,14.79,5.47,1,1,0,0,Male
1,13.67,6.18,0,0,0,1,Female
1,11.87,5.28,0,0,0,0,Female
1,13.31,5.45,0,0,0,0,Female
1,13.67,6.03,0,0,0,0,Female
1,11.21,6.04,0,0,1,0,Female
0,14.1,6.69,1,1,0,1,Male
1,13.89,6.01,0,1,0,0,Female
0,13.86,6.07,1,0,0,1,Male
0,11.45,5.94,1,0,1,1,Female
0,13.59,6.04,0,0,1,0,Male
1,15.81,6.57,0,1,1,1,Male
0,13.78,5.48,0,0,1,1,Female
1,12.37,6.79,0,0,0,1,Female
1,13.65,5.8,1,1,0,1,Female
0,15.09,5.89,1,1,1,0,Male
1,12.65,4.98,1,0,1,0,Female
1,14.72,5.96,1,1,1,1,Male
0,13.14,6.9,0,0,1,1,Male
0,13.53,7.47,0,0,1,1,Male
0,12.88,6.02,0,0,0,0,Female
0,12.08,6.12,1,1,0,0,Female
1,12.13,6.66,0,1,0,0,Male
0,13.94,6.03,1,1,1,1,Male
1,13.75,5.43,0,0,1,1,Female
0,15.2,7.31,0,1,1,1,Male
0,14.85,5.48,0,0,0,0,Female
0,13.58,5.78,1,1,1,1,Male
1,13.47,6.48,0,0,0,1,Female
1,14.12,6.19,1,0,1,1,Male
0,13.02,6.24,0,0,0,1,Female
0,15.15,7.14,0,0,1,0,Male
0,14.02,5.22,0,1,1,1,Female
1,12.99,6.31,1,0,0,1,Female
0,14.18,6.15,1,0,1,0,Male
0,12.93,5.73,0,1,0,0,Male
0,13.2,5.92,0,0,0,1,Female
0,14.0,5.85,1,0,1,1,Male
1,14.22,6.5,0,0,0,0,Female
0,15.27,6.56,1,1,1,1,Male
1,12.68,5.66,0,0,0,1,Female
1,12.69,6.33,0,0,1,0,Female
0,12.65,4.91,0,1,0,0,Female
1,13.72,5.33,0,0,1,1,Female
1,12.68,5.57,0,1,0,0,Female
1,14.39,6.82,0,1,1,1,Female
0,13.99,5.71,0,0,1,0,Male
0,13.05,6.78,0,0,1,0,Male
0,14.51,7.47,1,1,1,0,Male
1,13.42,6.15,0,0,0,1,Female
0,12.98,5.4,0,1,0,1,Female
1,12.84,5.62,1,0,0,0,Female
1,14.19,6.08,0,0,1,1,Female
0,13.58,5.92,0,1,1,0,Male
0,15.03,6.43,1,1,1,1,Male
1,12.23,5.97,1,0,0,0,Female
0,13.95,5.36,0,1,1,0,Male
0,14.25,6.41,1,1,0,1,Male
1,12.34,5.82,0,0,0,0,Female
0,12.48,6.01,1,1,1,0,Male
0,14.81,5.3,0,1,0,0,Female
1,15.62,6.44,0,1,1,1,Male
1,14.65,6.04,0,0,0,0,Female
1,13.22,6.16,1,0,0,0,Female
1,12.61,5.8,1,1,1,1,Female
1,14.54,5.83,0,0,1,1,Female
1,13.42,5.62,1,0,0,1,Male
0,12.36,5.95,0,0,0,1,Female
0,13.47,6.13,1,1,0,0,Female
1,12.71,5.73,0,0,0,1,Female
0,12.95,5.3,1,1,1,0,Male
1,13.94,4.92,0,0,0,1,Female
0,13.77,6.46,0,1,1,1,Male
0,14.84,5.11,1,1,1,0,Female
0,13.21,6.43,1,0,1,0,Male
0,14.92,6.27,0,1,1,1,Male
1,13.83,5.03,0,1,0,1,Female
0,13.01,6.56,1,0,1,1,Male
1,14.64,5.83,1,1,0,0,Female
1,12.96,5.4,1,0,0,1,Female
1,12.83,5.41,0,1,1,0,Female
1,13.57,5.73,1,0,1,0,Male
0,15.68,5.87,1,0,0,1,Male
1,11.45,6.44,0,1,0,1,Female
1,13.78,6.04,0,0,0,0,Female
0,13.31,6.52,0,0,1,0,Male
1,13.59,6.75,0,1,0,1,Female
1,13.14,5.95,1,1,0,1,Female
0,14.53,5.22,1,0,1,0,Female
0,13.18,6.34,1,1,0,1,Male
0,15.16,6.23,1,0,1,1,Male
1,15.22,6.56,0,0,0,1,Male
1,12.12,5.17,1,0,0,0,Female
1,13.55,5.74,0,1,0,1,Female
1,12.0,5.52,0,0,0,0,Female
0,13.5,5.81,1,1,0,1,Male
1,14.32,6.07,1,0,0,0,Female
1,12.12,5.38,1,0,0,0,Female
1,12.81,5.91,1,0,0,0,Female
1,13.02,6.33,0,0,0,0,Female
1,15.15,6.61,0,1,1,1,Male
1,15.9,5.29,1,1,0,0,Male
0,11.31,5.69,0,1,0,0,Female
0,15.11,5.79,0,1,0,0,Male
0,13.75,5.89,0,1,1,0,Male
0,11.6,5.54,0,0,1,1,Female
1,12.51,5.54,1,0,1,0,Female
0,14.57,6.9,1,1,1,0,Male
1,12.72,6.27,1,0,1,1,Female
1,13.76,6.17,0,1,1,1,Male
0,15.87,6.92,0,0,0,1,Female
0,13.01,6.34,1,1,1,1,Male
1,13.11,6.36,1,1,1,0,Female
1,12.99,6.7,1,0,0,0,Male
1,14.08,6.7,1,1,1,0,Male
1,12.91,5.15,1,0,1,1,Male
1,11.11,5.28,1,0,0,1,Female
1,13.29,6.99,1,0,1,0,Male
0,13.74,6.08,1,1,0,1,Male
1,14.94,5.76,1,0,0,0,Female
0,13.37,5.85,0,0,0,0,Female
1,15.25,6.39,1,1,1,1,Male
1,14.14,5.73,0,0,0,0,Male
1,12.91,5.77,1,0,1,0,Female
0,14.09,6.57,0,1,0,0,Female
0,14.66,6.01,0,1,1,0,Female
1,14.3,6.16,0,1,0,0,Female
1,11.93,5.8,1,0,0,1,Female
0,14.76,6.32,1,0,0,1,Male
1,13.28,4.79,0,0,1,1,Female
0,12.12,7.17,1,1,1,0,Male
1,14.49,6.14,1,1,0,0,Male
0,12.87,5.47,1,0,1,1,Male
1,14.0,5.82,0,0,0,0,Female
0,14.0,6.16,1,1,1,0,Male
0,13.9,6.77,1,0,1,0,Male
1,11.64,6.59,0,1,1,0,Female
1,14.17,5.86,0,1,1,1,Male
0,14.97,6.33,1,1,0,1,Male
1,12.52,6.18,0,0,0,1,Female
0,15.27,6.23,1,0,1,1,Male
1,12.44,5.78,0,1,1,0,Male
0,16.12,5.51,0,1,1,0,Male
1,13.01,4.85,1,0,0,0,Female
1,12.08,5.68,0,0,1,0,Female
1,10.72,5.22,1,0,0,0,Female
